"fac","subj","crsnum","longtitle"
AP,ADMS,1000,Introduction to Administrative Studies
AP,ADMS,1010,Exploring the Functions of Business
AP,ADMS,1500,An Introduction to Accounting: The Analysis and Use of Financial Information
AP,ADMS,2200,Introductory Marketing
AP,ADMS,2300,Quantitative Research Methods in Health Studies
AP,ADMS,2310,Business Statistics Through Applications
AP,ADMS,2320,Quantitative Methods I
AP,ADMS,2400,Introduction to Organizational Behaviour
AP,ADMS,2500,Introduction to Financial Accounting
AP,ADMS,2510,Introduction to Management Accounting
AP,ADMS,2511,Management Information Systems
AP,ADMS,2610,Elements of Law: Part One
AP,ADMS,2700,Fundamentals of Emergency Management
AP,ADMS,3000,Directed Reading
AP,ADMS,3010,Internship Work Term
AP,ADMS,3015,Professional Communication in the Canadian Context
AP,ADMS,3020,Canadian Business Culture and Management Skills
AP,ADMS,3060,Fundamentals of Canadian Business Law and Ethics
AP,ADMS,3120,Gender Issues in Management
AP,ADMS,3210,Consumer Behaviour
AP,ADMS,3220,Applied Marketing Management
AP,ADMS,3300,Decision Analysis
AP,ADMS,3330,Quantitative Methods II
AP,ADMS,3331,Introduction to Operations Research
AP,ADMS,3351,Operations Management
AP,ADMS,3352,Sampling Techniques and Survey Design
AP,ADMS,3353,Project Management
AP,ADMS,3360,Physical Distribution and Transportation
AP,ADMS,3502,Introduction to Enterprise Resource Planning Systems Applications
AP,ADMS,3510,Managerial Cost Accounting and Analysis
AP,ADMS,3520,An Overview of Canadian Income Taxation
AP,ADMS,3521,Management of Electronic Commerce Systems
AP,ADMS,3524,Public Sector Budget Process
AP,ADMS,3530,Finance
AP,ADMS,3531,Personal Investment Management
AP,ADMS,3541,Personal Financial Planning
AP,ADMS,3585,Intermediate Financial Accounting I
AP,ADMS,3595,Intermediate Financial Accounting II
AP,ADMS,3620,Elements of Law: Part Two
AP,ADMS,3660,Business Ethics and Corporate Social Responsibility
AP,ADMS,3701,Disaster Risk Management
AP,ADMS,3702,Comprehensive Emergency Management: Integrating Critical Knowledge with Practice
AP,ADMS,3703,Business Continuity Planning
AP,ADMS,3704,Emergency Management Communications
AP,ADMS,3705,Emergency Management: Field Experience
AP,ADMS,3706,Disasters and Humans
AP,ADMS,3707,"Ethics: Society, the Environment and Disasters"
AP,ADMS,3708,Social Issues in Disaster Management
AP,ADMS,3810,Introduction to Real Estate
AP,ADMS,3820,Real Estate Law I
AP,ADMS,3900,The Practice of General Management
AP,ADMS,3920,New Venture and Small Business Management
AP,ADMS,3930,Management
AP,ADMS,3960,International Business
AP,ADMS,4000,Directed Reading
AP,ADMS,4010,Organization and Administrative Theory
AP,ADMS,4200,Personal Selling and Sales Force Management
AP,ADMS,4210,International Marketing
AP,ADMS,4215,Business to Business Marketing
AP,ADMS,4225,Retailing Management
AP,ADMS,4230,Marketing Channels
AP,ADMS,4235,New Product Management
AP,ADMS,4240,Advertising and Communications
AP,ADMS,4245,Digital Marketing
AP,ADMS,4250,Marketing Strategy Development and Implementation
AP,ADMS,4255,Customer Relationship Management
AP,ADMS,4260,Marketing Research I
AP,ADMS,4265,Marketing Research II
AP,ADMS,4275,Services Marketing
AP,ADMS,4280,Social Marketing: Non-Profit Marketing and Corporate Social Responsibility
AP,ADMS,4285,Brand Management
AP,ADMS,4300,Decision Making
AP,ADMS,4333,Supply Chain Management
AP,ADMS,4345,Modeling and Simulation for Management
AP,ADMS,4360,Materials and Inventory Management
AP,ADMS,4370,Data Analysis Systems
AP,ADMS,4421,Qualitative Methods
AP,ADMS,4444,Identity and Inclusivity in Organizations: Advanced Topics
AP,ADMS,4501,Advanced Portfolio Management
AP,ADMS,4502,Ethics for Investment Managers
AP,ADMS,4503,Derivative Securities
AP,ADMS,4504,Fixed Income Securities and Risk Management
AP,ADMS,4505,Retirement and Estate Planning
AP,ADMS,4506,Professional Financial Planning
AP,ADMS,4507,Insurance and Other Finance Topics
AP,ADMS,4510,Accounting Theory and Contemporary Issues
AP,ADMS,4511,Managing and Implementing Strategic Information Systems
AP,ADMS,4515,Internal Audit
AP,ADMS,4520,Advanced Financial Accounting
AP,ADMS,4535,Financial Statement Analysis
AP,ADMS,4536,Security Valuation
AP,ADMS,4540,Financial Management
AP,ADMS,4541,Applied Corporate Finance
AP,ADMS,4542,International Financial Management
AP,ADMS,4551,Auditing and Other Assurance Services
AP,ADMS,4552,Information Systems Audits
AP,ADMS,4553,Auditing: Advanced Topics
AP,ADMS,4561,Taxation Of Personal Income in Canada
AP,ADMS,4562,Corporate Taxation in Canada
AP,ADMS,4570,Management Planning and Control Systems
AP,ADMS,4590,Comprehensive and Multi-subject Accounting Problems
AP,ADMS,4690,"Board Leadership, Effectiveness and Succession Planning"
AP,ADMS,4691,Legal Environment of Corporate Governance
AP,ADMS,4692,Governance of Governmental Enterprises and Not-for-Profit Organizations
AP,ADMS,4704,Disaster and Logistics
AP,ADMS,4705,Comprehensive Emergency Management 2:  The Canadian Context
AP,ADMS,4707,Managing Risks to Critical Infrastructure
AP,ADMS,4708,Research Seminar in Disaster and Emergency Management
AP,ADMS,4709,Terrorism: The New Threat
AP,ADMS,4900,Management Policy Part I
AP,ADMS,4910,Management Policy Part II
AP,ADMS,4940,Technology Management
AP,ADMS,4950,Principles of Consulting
AP,ANTH,1120,Making Sense of a Changing World: Anthropology Today
AP,ANTH,2100,From Empire to Globalization: Anthropological Perspectives
AP,ANTH,2110,Core Concepts in Anthropology
AP,ANTH,2120,"Visualizing Ourselves, Visualizing Others: Media, Representation and Culture"
AP,ANTH,2150,Early Civilizations: Complex Societies of the New and Old Worlds
AP,ANTH,2170,"Sex, Gender and the Body: Cross-Cultural Approaches to the Body, Gender, Sexuality and Kinship"
AP,ANTH,2200,Culture Wars: The Anthropology of Science & the Sacred
AP,ANTH,3020,"Race, Racism and Popular Culture"
AP,ANTH,3030,Discourses Of Colonialism
AP,ANTH,3050,Disabling Lives: Anthropological Interpretations of Disability through Autobiography
AP,ANTH,3110,Acquiring Research Skills
AP,ANTH,3120,The Anthropology of Tourism
AP,ANTH,3160,"Sex, Love and Marriage: Cross-Cultural Approaches to Kinship"
AP,ANTH,3200,The Anthropology of International Health
AP,ANTH,3210,Public Anthropology
AP,ANTH,3220,"Greed, Globalization and the Gift: The Culture of Capitalism"
AP,ANTH,3230,"Women, Culture and Society"
AP,ANTH,3240,Sexing the Subject: Sexuality from a Cross-Cultural Perspective
AP,ANTH,3280,Psychiatric Anthropology and Social Stress
AP,ANTH,3320,The Anthropology of Ritual & Religion
AP,ANTH,3330,Health & Illness in Cross-Cultural Perspective: An Introduction to Medical Anthropology
AP,ANTH,3350,Culture as Performance: The Anthropology of the Arts
AP,ANTH,3410,"Us and Them: Race, Ethnicity, Nation"
AP,ANTH,3570,"Anthropology, Islam and Muslim Societies"
AP,ANTH,3600,The Anthropology of Industrial Work in Cross-Cultural Perspective
AP,ANTH,4010,Directed Reading
AP,ANTH,4110,Development of Theory in Social Anthropology
AP,ANTH,4130,The Professional Anthropologist: The Anthropologist as Practitioner
AP,ANTH,4160,Anthropology and Indigenous Peoples' Health
AP,ANTH,4250,Religious Movements in Global Perspective
AP,ANTH,4270,Imagined Societies: An Anthropology of Nations Without Boundaries
AP,ANTH,4330,Critical Issues in Medical Anthropology
AP,ANTH,4340,Advocacy and Social Movements
AP,ANTH,4350,Perspectives in Visual Anthropology
AP,ANTH,4420,The Gendered Politics of War
AP,ANTH,4430,"The Anthropology of Reproduction, Personhood, and Citizenship"
AP,ANTH,4450,The Anthropology of the City
AP,ANTH,4560,The Anthropology of Science and Technology
AP,ARB,1000,Introduction to Modern Standard Arabic
AP,ARB,1010,Introduction to Modern Standard Arabic for Advanced Beginners
AP,ARB,2000,Intermediate Arabic
AP,ARB,2010,Intermediate Modern Standard Arabic for Heritage Students
AP,ARB,2700,Introduction to Arab Culture
AP,ARB,3000,Advanced Standard Arabic
AP,ASL,1000,"American Sign Language, Level I: Introduction to Sign Language Studies"
AP,ASL,2000,"American Sign Language, Level II"
AP,ASL,3000,"American Sign Language, Level III"
AP,CAW,1100,Studies in the University: Higher Education at York University
AP,CDNS,2200,Introduction to Canadian Studies
AP,CDNS,4100,Directed Reading
AP,CDNS,4200,Metis Children and Families in Canada
AP,CH,1000,Elementary Modern Standard Chinese
AP,CH,1010,Elementary Chinese for Advanced Beginners
AP,CH,2000,Intermediate Modern Standard Chinese
AP,CH,2200,Introduction to Chinese Literature
AP,CH,3000,Advanced Modern Standard Chinese
AP,CH,3660,Modern Chinese Drama: Cao Yu and His Contemporaries (in Chinese)
AP,CH,3711,Women Writers in Modern and Contemporary China
AP,CH,3790,Contemporary Chinese Culture Through Literary Texts and Film
AP,CH,3791,Contemporary Chinese Culture Through Literary Texts and Film (in translation)
AP,CH,3800,Chinese-Canadian Diasporic Literature
AP,CH,3810,Chinese-American Diasporic Literature
AP,CH,3820,Modern and Contemporary Chinese Literature
AP,CH,4050,Advanced Chinese for Business
AP,CH,4300,Classical Chinese Fiction
AP,CH,4800,Humor and Satire in Modern and Contemporary Chinese Literature
AP,CH,4880,Cultural Translation and Chinese Modernities
AP,CLTR,1953,Canadian Writers in Person
AP,CLTR,2100,Questioning Culture
AP,CLTR,2210,"Media, Culture and Technology"
AP,CLTR,2510,Popular Technologies and Cultural Practice
AP,CLTR,2860,In Other Worlds: The Arts and Artists in Three-Dimensional Multi-User Digital Environments
AP,CLTR,3080,Theatre in Review
AP,CLTR,3100,"Culture, Meaning & Form"
AP,CLTR,3140,Digital Culture in the Humanities
AP,CLTR,3160,"Sound, Politics, and Media Art"
AP,CLTR,3230,"Illness in the Popular Eye: Body, Spirit and Transformation"
AP,CLTR,3542,Consumer and Popular Culture
AP,CLTR,3595,Radicalism and Cultural Movements
AP,CLTR,3610,Popular Expression in North American Music
AP,CLTR,3838,The Celtic Tradition - Then and Now
AP,CLTR,4000,Independent Studies in Culture & Expression
AP,CLTR,4810,Architecture and Social Change
AP,CLTR,4850,Propaganda and Culture
AP,CLTR,4851,"Literary, Musical, and Visual Cultures: Modernism Across the Arts"
AP,COGS,4750,Honours Thesis in Cognitive Science
AP,COGS,4901,Honours Seminar in Cognitive Science
AP,COMN,1000,Introduction to Communications
AP,COMN,2111,Communication in Everyday Life
AP,COMN,2200,"Introduction to Politics, Policy and the Media"
AP,COMN,2500,Information and Technology
AP,COMN,2700,"Media, Culture and Society"
AP,COMN,3100,Foundational Communication Theory
AP,COMN,3101,Contemporary Communication Theory
AP,COMN,3111,Organizational Communication
AP,COMN,3112,Problematic Communication in Organizations
AP,COMN,3150,Introduction to Research Methods in Communication Studies
AP,COMN,3151,Research Methods Seminar
AP,COMN,3213,Labour in the Communication and Cultural Industries
AP,COMN,3220,Organizing Social Movements
AP,COMN,3221,Communicating Social Movements
AP,COMN,3252,Ethics and the Media
AP,COMN,3510,Future Directions of Communications
AP,COMN,3511,Technological Advances in Telecommunication
AP,COMN,3550,Digital Media and Culture
AP,COMN,3551,Advanced Issues in Digital Media and Culture
AP,COMN,3590,Feminist Perspectives on Media
AP,COMN,3591,Feminist Perspectives on Technology
AP,COMN,3700,Advertising: The Growth of a Twentieth Belief System
AP,COMN,3701,"Advertising, Culture and Society"
AP,COMN,3712,"The Rise of the Classical Hollywood Cinema: Entertainment, Art and Politics"
AP,COMN,3713,"The Decline of the Classical Hollywood Cinema: Post-WWII, the Cold War and the Rise of Corporate America"
AP,COMN,3730,An Introduction to the Documentary (for non-film majors)
AP,COMN,3750,Television as Communication
AP,COMN,3751,Television as Culture
AP,COMN,4000,Honours Thesis
AP,COMN,4001,Directed Reading
AP,COMN,4002,Directed Reading
AP,COMN,4115,Communication and the Management of Change in Organizations
AP,COMN,4150,Experiential Research Methods at Work
AP,COMN,4201,Resistance and Subversion on the Internet
AP,COMN,4202,Issues in the Political Economy of Media
AP,COMN,4203,Approaches to Communication and Development
AP,COMN,4206,"NetWork: Digital Labour, Profit, and Exploitation"
AP,COMN,4210,Global Communication: Contemporary Issues
AP,COMN,4212,The Growth of Canadian Broadcasting
AP,COMN,4213,Politics of Canadian Media: Balancing Profit and Public Service
AP,COMN,4214,"Media, Publics and Democracy"
AP,COMN,4270,Cultural Industries and Work
AP,COMN,4306,Inside Technology
AP,COMN,4505,Debates about Technological Development
AP,COMN,4507,Case Studies in Information and Communication Technologies
AP,COMN,4518,Intersections of Bodies and Technologies
AP,COMN,4520,Electronic Information Network Marketplace
AP,COMN,4700,Popular Culture and Communications
AP,COMN,4703,"Children, Media, Education and Change"
AP,COMN,4704,"Global Media, Local Communication"
AP,COMN,4708,Youth Cultures and Media Practices
AP,COMN,4721,The City in Film:  Identity and Place
AP,COMN,4722,Mediaspace and the Modern City
AP,COMN,4725,Mediations of Identity
AP,COMN,4726,"Visual Culture: Histories, Theories and Politics"
AP,COMN,4729,Popular Music as Communication and Culture
AP,COMN,4760,"Communication, Mobility and the City"
AP,CRIM,2653,Research Methods in Criminology
AP,CRIM,3652,Ethnographies of Crime and Policing
AP,CRIM,3657,Youth Crime
AP,CRIM,3658,"Crime, Science, and Technology"
AP,CRIM,4653,Transnational and Comparative Criminology
AP,CRIM,4656,Gender and Crime
AP,CRIM,4657,Crime and the Corporation
AP,CRIM,4659,"Indigenous Peoples, Crime, and Justice"
AP,CRIM,4660,Criminalization of Dissent
AP,ECON,1000,Introduction to Microeconomics
AP,ECON,1010,Introduction to Macroeconomics
AP,ECON,1530,Introductory Mathematical Economics I
AP,ECON,1540,Introductory Mathematical Economics II
AP,ECON,1900,Microeconomics for Life: Making Smart Choices
AP,ECON,2300,Intermediate Microeconomic Theory I
AP,ECON,2350,Intermediate Microeconomic Theory II
AP,ECON,2400,Intermediate Macroeconomic Theory I
AP,ECON,2450,Intermediate Macroeconomic Theory II
AP,ECON,2500,Introductory Statistics for Economists I
AP,ECON,3150,International Trade
AP,ECON,3199,Approaches to Global Economics (writing)
AP,ECON,3200,Industrial Organization
AP,ECON,3210,Use of Economic Data
AP,ECON,3240,Labour Economics: Theory
AP,ECON,3249,Labour Economics: Theory (Writing)
AP,ECON,3259,Labour Economics: Institutions (Writing)
AP,ECON,3340,Environmental Economics
AP,ECON,3411,Managerial Economics and Strategy
AP,ECON,3430,Monetary Economics I: Financial Markets and Institutions
AP,ECON,3440,Monetary Economics II: Theory and Policy
AP,ECON,3473,Global Business Economics
AP,ECON,3480,Introductory Statistics for Economists II
AP,ECON,3500,Introductory Mathematical Statistics for Economists
AP,ECON,3510,Health Economics
AP,ECON,3530,Intermediate Mathematics for Economists
AP,ECON,3550,Economic Growth and Development
AP,ECON,3560,Economic Policy in Developing Countries
AP,ECON,3569,Economic Policy in Developing Countries
AP,ECON,3580,International Monetary Economics
AP,ECON,3620,Economics of Unemployment
AP,ECON,3709,Economics of Gender (Writing)
AP,ECON,3810,The Economics of Project Appraisal and Feasibility
AP,ECON,4000,Directed Reading
AP,ECON,4010,Advanced Microeconomic Theory
AP,ECON,4020,Advanced Macroeconomic Theory
AP,ECON,4059,History of Economic Thought I
AP,ECON,4069,History of Economic Thought II
AP,ECON,4070,Public Finance I
AP,ECON,4080,Public Finance II
AP,ECON,4083,Economics of Information and Incentives
AP,ECON,4089,Research Seminar in Economics
AP,ECON,4129,International Trade Policy and Economic Integration
AP,ECON,4130,Game Theory in Economics
AP,ECON,4140,Financial Econometrics
AP,ECON,4190,Topics in International Trade
AP,ECON,4200,Topics in International Monetary Economics
AP,ECON,4210,Econometrics
AP,ECON,4259,Topics in Health Economics
AP,ECON,4350,Topics in Industrial Organization
AP,ECON,4380,Public Choice Theory
AP,ECON,4400,Financial Economics
AP,ECON,4410,Corporate Finance
AP,ECON,4420,Topics in Corporate Finance
AP,EN,1001,An Introduction to Literary Study
AP,EN,1002,Intertextualities
AP,EN,1006,A Writer's Introduction to Literary Forms
AP,EN,1101,Literature and Law
AP,EN,1102,Literature and Health
AP,EN,1201,The Literary Imagination
AP,EN,1202,Satire
AP,EN,2001,Literary Theory I
AP,EN,2002,Literary Theory II
AP,EN,2010,Gender Studies
AP,EN,2011,Gender Studies I
AP,EN,2012,Gender Studies II
AP,EN,2100,Poetry
AP,EN,2120,Prose Narrative
AP,EN,2140,Drama
AP,EN,2220,Canadian Literature
AP,EN,2230,Introduction to American Literature
AP,EN,2231,African American Literature
AP,EN,2240,"Introduction to Postcolonial Literatures in English: African, Caribbean, South Asian and the South Pacific"
AP,EN,2250,Introduction to British Literature
AP,EN,2600,Introduction to Creative Writing
AP,EN,3000,Contemporary Literary and Cultural Theory
AP,EN,3020,Psychoanalysis and Approaches to Literature
AP,EN,3070,Filming Literature
AP,EN,3130,Modernisms
AP,EN,3132,"Dada, Surrealism, and Early Avant-Garde Movements"
AP,EN,3140,Avant-garde Movements Since 1945
AP,EN,3150,Women in Literature: A Comparative Analysis
AP,EN,3160,Literature of the Fantastic
AP,EN,3171,Coming of Age in Fiction
AP,EN,3172,Apocalyptic Science Fiction
AP,EN,3173,"Children's Literature, 1590-1900"
AP,EN,3174,20th Century Children's Literature
AP,EN,3176,Comics and Cartoons I
AP,EN,3177,Comics and Cartoons II
AP,EN,3180,Literary Nonfiction
AP,EN,3191,Comedy
AP,EN,3193,Studies in Satire
AP,EN,3210,Modern Canadian Poetry
AP,EN,3230,Modern Canadian Fiction
AP,EN,3310,Poetry of the United States
AP,EN,3323,American Literature: 21st Century
AP,EN,3420,African Literature
AP,EN,3440,Contemporary Literature
AP,EN,3510,Medieval Literature
AP,EN,3535,Shakespeare
AP,EN,3550,19th-Century British Literature & Culture
AP,EN,3555,18th-Century Novel
AP,EN,3560,The English Romantics
AP,EN,3600,Principles of Creative Writing: Creative Non-fiction and Mixed Genre
AP,EN,3610,Intermediate Prose Workshop: Fiction
AP,EN,3620,Intermediate Poetry Workshop
AP,EN,4000,Studies in Literary Theory: Cultural Studies
AP,EN,4003,Urban Experience in Victorian Britain
AP,EN,4011,Queer Theory
AP,EN,4020,Literature and Philosophy
AP,EN,4041,History and Description of the English Language
AP,EN,4070,Literature and Other Arts
AP,EN,4073,Filming Literature: The Small Town in Film and Literature
AP,EN,4099,Honours Thesis
AP,EN,4113,Poetry by Women
AP,EN,4120,Studies in 18th-Century Literature: The Rise of the Novel
AP,EN,4130,The Short Story
AP,EN,4140,Contemporary Drama
AP,EN,4161,The Theory and Practice of Autobiography
AP,EN,4163,Visionary Literature: From Dante to Bob Dylan
AP,EN,4170,Modernism/Postmodernism
AP,EN,4181,Studies in Contemporary Literature: Writers and Drugs
AP,EN,4191,Studies in the Literature of the United States: Contemporary Women Writers
AP,EN,4220,Canadian Graphic Novel
AP,EN,4254,Canadian Topics: Contemporary Writers
AP,EN,4332,Edgar Allan Poe
AP,EN,4352,F. Scott Fitzgerald
AP,EN,4371,Contemporary American Drama
AP,EN,4384,20th Century American Humour
AP,EN,4390,Contemporary American Gothic
AP,EN,4400,Diaspora Literatures
AP,EN,4420,African Drama
AP,EN,4504,Arthurian Literature
AP,EN,4520,Studies in Renaissance Poetry
AP,EN,4535,Advanced Shakespeare
AP,EN,4560,Studies in the English Romantics
AP,EN,4580,Studies in 19th Century Literature: Victorians into Moderns
AP,EN,4595,Contemporary British Writers
AP,EN,4600,Principles of Creative Writing: Senior Mixed Genre Workshop
AP,EN,4610,Senior Prose Workshop: Fiction
AP,EN,4620,Senior Poetry Workshop
AP,EN,4722,Editing Shakespeare
AP,ESL,1000,Canadian Language and Culture
AP,ESL,1450,Thinking about Contemporary Canada
AP,ESL,2000,English in Use
AP,FND,0100,Fundamentals of Learning: Essentials for a Successful University Experience
AP,FR,1020,Introductory French
AP,FR,1030,Intermediate French
AP,FR,1060,Business and Culture in French
AP,FR,1080,French Language & Culture
AP,FR,2060,"Culture, Marketing, Operations in French"
AP,FR,2061,"Culture, Management, Strategy in French"
AP,FR,2081,Written Communication in French
AP,FR,2082,Oral Communication in French
AP,FR,2100,Introduction to the Linguistic Study of French
AP,FR,2200,Approaches to French Literature: An Introduction
AP,FR,3081,Advanced Written Communication in French
AP,FR,3082,Advanced Oral Communication in French
AP,FR,3121,Translation and Contrastive Linguistics
AP,FR,3140,French Phonetics and Oral Performance
AP,FR,3380,A Survey of Literature in French
AP,FR,4090,Language and Techniques of Communication
AP,FR,4122,Models of Second Language Acquisition
AP,FR,4125,Textual Linguistics of Written French
AP,FR,4323,Performing Arts in 17th Century France
AP,FR,4332,Comedy in the 18th Century
AP,FR,4343,19th-Century French Literature: Towards Modernity
AP,FR,4351,20th-Century French Literature (1900-1950): The Existential Hero
AP,FR,4377,Contemporary Adventure Novel in French
AP,FR,4900,Individualized Study
AP,GEOG,1000,The World Today: An Introduction to World Geography
AP,GEOG,1400,Physical Geography
AP,GEOG,1410,Human Geography
AP,GEOG,2030,The End of the Earth as We Know It: Global Environmental Change
AP,GEOG,2070,"Empire, State, & Power: An Introduction to Political Geography"
AP,GEOG,2075,Everyday Life: Introduction to Cultural Geography
AP,GEOG,2105,"Money, Power and Space: Introduction to Economic Geography"
AP,GEOG,2220,Urban Geography
AP,GEOG,2305,Identities: Introduction to Social Geography
AP,GEOG,2340,Geoinformatics: Introduction
AP,GEOG,2400,The Hydrosphere
AP,GEOG,2420,Introductory Statistical Analysis in Geography
AP,GEOG,2500,Introduction to Vegetation and Soils
AP,GEOG,2600,Geomorphology I
AP,GEOG,3010,Geography of Canada
AP,GEOG,3040,Urban Environmental Justice
AP,GEOG,3050,"Nature, Power and Society"
AP,GEOG,3060,Post-Colonial Geographies
AP,GEOG,3070,"Gender, Population and Migration"
AP,GEOG,3130,The Global Economy
AP,GEOG,3200,Terrestrial Ecosystems
AP,GEOG,3220,Advanced Urban Geography
AP,GEOG,3300,Space/Place
AP,GEOG,3340,Geoinformatics: GIS I
AP,GEOG,3360,Morphogenesis of Soils
AP,GEOG,3370,International Development: Critical Geographical Perspectives
AP,GEOG,3400,"Dimensions of Difference: Geography of Gender, Race and Power"
AP,GEOG,3440,Geoinformatics: Remote Sensing I
AP,GEOG,3500,Biogeography
AP,GEOG,3510,Methods of Sediment
AP,GEOG,3520,Designing and Conducting Research in Geography
AP,GEOG,3540,Field Studies in Physical Geography
AP,GEOG,3600,Nations and Nationalisms
AP,GEOG,3650,"WiredCities: Community, Technology and Changing Urban Places"
AP,GEOG,3700,Disaster! The Earth's Extreme Natural Events
AP,GEOG,3750,Africa: The Impoverishment of a Continent
AP,GEOG,3800,Geographies of Work
AP,GEOG,4000,Honours Thesis
AP,GEOG,4040,Urban Historical Geography
AP,GEOG,4060,Women in North America: Historical Geographies of Gender and Sexuality
AP,GEOG,4090,"Urban Identities: Historical Perspectives on Race, Ethnicity, Gender and Class in Canadian and American Cities"
AP,GEOG,4130,Planning Suburbs
AP,GEOG,4150,Foodscapes and Agri-scapes: Geographical Perspectives
AP,GEOG,4170,"Geographic Perspectives on Immigration, Ethnicity and Race in Modern Cities"
AP,GEOG,4190,Geographies of the Ethnic Economy
AP,GEOG,4200,Water Quality and Stream Ecosystems
AP,GEOG,4210,Hydrometeorology
AP,GEOG,4240,The Planning of Urban Public Facilities
AP,GEOG,4250,Imagined Landscapes
AP,GEOG,4290,Directed Reading
AP,GEOG,4340,Geoinformatics: GIS II
AP,GEOG,4380,Urban Social Policy
AP,GEOG,4395,Asia-Pacific Development: Geographical Perspectives
AP,GEOG,4400,Physical Hydrology and Water Resources
AP,GEOG,4410,Desert Ecosystems
AP,GEOG,4440,Geoinformatics: Remote Sensing II
AP,GEOG,4520,Research Design & Field Studies in Human Geography
AP,GEOG,4600,Rivers: Environment and Process
AP,GEOG,4610,Geopolitics
AP,GEOG,4750,Geography of Disabilities
AP,GEOG,4850,"The state, civil society and spaces of development"
AP,GEOG,4880,"Spaces of Conflict, Violence, and Power"
AP,GEOG,4900,Public Space
AP,GER,1000,Elementary German
AP,GER,1790,"Nationalism, Authority and Resistance: Perspectives on German Culture and Society"
AP,GER,2000,Intermediate German
AP,GER,2791,Kino-Culture: German Cinema in Competition with Hollywood
AP,GER,3001,"Advanced Level German, Level IA"
AP,GER,3002,"Advanced Level German, Level IB"
AP,GER,3601,"Vienna in the Early 20th Century: Literature, Art, Culture and Politics (in translation)"
AP,GER,3840,German Romanticism: Tradition and Revolution
AP,GER,3989,Germany and the Global Imaginary
AP,GK,1000,Elementary Classical Greek
AP,GK,2000,Intermediate Classical and Biblical Greek
AP,GK,3010,Greek Tragedy
AP,GK,3050,Socrates
AP,GK,4010,Greek Tragedy
AP,GK,4050,Socrates
AP,GK,4130,Guided Readings in Greek Authors
AP,GK,4140,Honours Essay
AP,GKM,1000,Elementary Modern Greek
AP,GKM,2000,Intermediate Modern Greek
AP,GKM,4600,"Topics in Modern Greek Culture: Literature, Cinema and Theatre"
AP,GWST,1501,Introduction to Gender and Women's Studies
AP,GWST,1502,Introduction aux Çtudes des femmes et de genre
AP,GWST,1502,Introduction to Gender and Women's Studies
AP,GWST,2511,"Sex, Gender and Popular Culture"
AP,GWST,2512,"Race, Gender & Sexuality"
AP,GWST,2513,Mothering and Motherhood
AP,GWST,2600,Introduction to Critical Sexualities
AP,GWST,3502,Rapports sociaux d'ethnicitÇ et de sexe
AP,GWST,3504,Women and Aging
AP,GWST,3505,Gender and the City
AP,GWST,3506,Self and Identity: Contemporary Feminist and Anti-Racist Perspectives
AP,GWST,3509,Women Organizing
AP,GWST,3510,Women and Work: Production and Reproduction
AP,GWST,3511,"Femmes, sexualitÇs, pouvoir"
AP,GWST,3511,Women's Sexualities
AP,GWST,3520,Women and the Professions: Feminist Perspectives on Professional Work
AP,GWST,3521,Women and Disabilities
AP,GWST,3552,Approches fÇministes du dÇveloppement
AP,GWST,3555,Genealogies of Feminist Theorizing
AP,GWST,3557,"Superstition, Religion and Sexuality"
AP,GWST,3562,"Feminist Political Economy: Gender, Race and Class and the Politics of  Everyday Life"
AP,GWST,3563,The Monstrous Maternal in Literature: Writings on Motherhood and Reproduction
AP,GWST,4502,La femme et la violence
AP,GWST,4502,Violence Against Women
AP,GWST,4503,Politics of the Canadian Women's Movement
AP,GWST,4512,Gender and the Law in an International Perspective
AP,GWST,4516,"Gender, Globalization and Militarization"
AP,GWST,4555,Feminist Methodologies and Methods
AP,GWST,4600,Advanced Seminar in Sexuality Studies
AP,GWST,4801,Directed Reading
AP,HEB,1000,"Elementary Modern Hebrew, Level I"
AP,HEB,3210,Selections from Hebrew Legal-Religious Texts: Reading and Analysis
AP,HEB,3600,Themes in Modern Israeli Literature and Society
AP,HEB,3630,"Israeli Cinema:  Culture, Values, Art"
AP,HIST,1010,"War, Revolution and Society in the 20th Century"
AP,HIST,1025,Ancient North America From the Last Ice Age to European Contact
AP,HIST,1030,Imperialism and Nationalism in Modern Asia
AP,HIST,1035,Ecology of Empire: Europe and the Conquest of North America
AP,HIST,1080,Growing Up in North America
AP,HIST,1083,"Mass Media and Popular Culture in the Americas, 1820-1980"
AP,HIST,1095,Streetlife:  The Culture and History of European Cities
AP,HIST,2100,Ancient Greece and Rome
AP,HIST,2110,The Ancient Near East
AP,HIST,2220,Medieval and Early Modern Europe
AP,HIST,2300,Modern Europe: From the French Revolution to the European Union
AP,HIST,2400,British History
AP,HIST,2500,Canadian History
AP,HIST,2600,United States History
AP,HIST,2710,History of East Asia
AP,HIST,2721,Introduction to Latin American History
AP,HIST,2731,Introduction to Caribbean History
AP,HIST,2750,"African History, from 1800 to the Present"
AP,HIST,2790,"Islamic Civilization, 622 - 1400"
AP,HIST,3110,Ancient Israel: From Its Origins in the Settlement to the Babylonian Exile
AP,HIST,3120,Classical Athens: State and Society
AP,HIST,3125,Sport and Society in Ancient Greece
AP,HIST,3130,The Roman Revolution
AP,HIST,3135,Spectacle and Society in Ancient Rome
AP,HIST,3154,Egypt from Alexander to Cleopatra
AP,HIST,3155,Egypt after Cleopatra: Society and Culture in a Roman Province
